,name,locations,reviews
46,Kathy H.,Hong Kong,"Thank you Laura C for the amazing UYE!!!! It was so much fun, everyone was sooooooooooo awesome. I heard lots of great voices that night, excuse mine because I just recovered from a cold and only sang man songs. Thank you all for the good times!Bar + Karaoke (aka Bar Plus) is a tiny door beside Swiss Chalet, venture up the stairs to find this place. Each person paid just $10, plus beers and food. We were there from 7 until 11, our party was a maximum of 21 people, we were in one of the bigger rooms with lots of comfortable distance between seating. Lots of leg room, lots of running around. Two mikes, two screens (so the stage/front performers can see lyrics on the back screen and still face the audience!), and neon flashing lights!!!!Laura was the expert in operating the remote control, whilst others use the mobile app to queue songs. Sounds amazing right? It truly is. Except the app is prone to crashing, yet it's so convenient and allows the shy cookies to pick songs!Service wasn't great and the washrooms are so dirty, minus one star.. I hate when they don't refill soap. The previous time I was here, it was the same...Cheapest beer was $4.50 or so, ex. Coors Light. Song list was pretty good! Lots of cheesy music videos but Just the Way You Are and Call Me Maybe were real. Plenty of English songs yet The Killers are not on there :(At the end of the night when they kicked us out, they played this loud annoying and ear-piercing country song. As if we're too slow or something...Nonetheless, thank you all for such a good night!!!!!!!!! Here are some favorite moments:- Bobby and my duet of All the Small Things- Evelyn and Kris's Barbie song was so much fun, dancing and acting included- Kris, wow, your voice is amazing! Everyone was quiet so we could all hear it. You are sooooooooooo talented!!- Thank you Elaine for taking photos :)!!- Wannabe by Laura and Bobby, haha Bobby you were great in that song ;)- Wonderfully by ""The British Gang""- Everyone sang Living in a Prayer together, that was awesome!!- Greatest Love of All, sung beautifully by Elaine, Sara, and Laura.Hope we do this again!"
47,Amanda H.,"Colborne, Canada",Lots of fun. Great song selection and a great price. A wonderful  way to spend an evening with friends.
48,Chris P.,"Barrie, Canada","We had a blast at this place. We have never done karaoke in Toronto before, so we have nothing to compare our experience with, but the service was great and the facility was really nice. We were almost an hour late for our reservation, and the staff had no issue with us being late, and they didn't even charge us for the time that we had booked for. They only made us pay for the time we were there. It was a great experience and we will definitely head back there again!"
49,Melissa F.,"Vancouver, Canada","If you were to do room Karaoke downtown I don't know why you would go anywhere else-Rooms are cheap, accommodates small and large groups (i've been here several times in groups from 3-15+ and I have never had a problem getting a room)-Drinks are cheap-Food is obviously from the freezer section of a grocery store but you shouldn't care too much when you can just bring your own food in.-It is perfectly located in the dingy entertainment strip of Yonge where there are a million other options to source food/drink prior, before or after.ProTip: There is a free app where you can queue your favourite songs.Good selection of English and nonenglish songs- relatively easy setup/controller etc.This is an excellent option if you want a nice clean night out."
50,Bobby N.,"Toronto, Canada","Being a big fan of Karoke bars I can not believe it has taken me so long to getting to visit one here in Toronto. Thanks to Laura C for choosing this place.Located in an easy access spot just north of Yonge and Dundas opposite the Zanzibar you might mistake this place from the outside to be some what sketchy but trust me inside it is a real sweet deal. The bar area is spacious although it is not meant for lounging, and there are a decent number of rooms of different sizes.We had one of the bigger rooms which was just fine and the innovative highlight would be the Bar + app used to select the songs. Although I think the app itself can be improved to include easier ways of browsing through artists and songs.Previous reviews say the drinks are cheap but they were the same as any other bar/club. From my experience a karaoke bar should offer drink packages.  Bottle and mixers, bucket of buds etc..Anyway had a fantastic time here and look forward to going again soon."
51,Mark H.,"Ajax, Canada","I know a night is going well when it ends up here.  Getting a bunch of friends together to sing like fools makes for a great time.  Having your own room brings out the best in people that would normally not take the stage.  The rooms are large, very comfortable and set up to engage.  The music selection is huge (although there were some songs that we were surprised not to find).  The best compliment I can give, is that I woke up without a voice."
52,Abbas N.,"Richmond Hill, Canada","My friends and I came here a while ago for a birthday. Poor guy doesn't drink, so we ended up here.It was a lot better than I expected. Going up the stairs next to sketchy mcsketch swiss chalet and across from the rippers, we went. I was already drinking alot before I went in, so maybe my review loves it more than I should've but..1. The shit's cheap. BOTTOM LINE. I thought it was going to be mroe expensive. Drinks were cheap. The room was like 25 dollars? What. 2. I was drunk, so I was obviously yelling and screaming and dancing into the mic. It was awesome.This place was great.I'm only rating it three stars, because let's get frank. It was Karaoke. Not a bar.I am not an alcoholic."
53,Elle R.,"Downtown Core, Toronto, Canada","I had a nice time here karaoking  when I came last weekend w the bf and his coworkers. It's the type where you rent a room and you karaoke in front of whomever you came with. It is fun, but I'm more a fan of karaoking in front of strangers, since I figure you can go big or go home and not worry about seeing them again. They have pretty good selection for drinks at reasonable pricing. The song list is current and has a great selection of modern songs and ""oldie but goodies"". When choosing to come to this style of karaoke again id for sure come here!"
54,Mary C.,"Richmond Hill, Canada","Went to Bar + for the first time on a Friday night with a reservation for a Medium sized room and was pleasantly surprised at how clean the place was and how large the rooms were being in the downtown core. Located near Eaton Centre (and just a short walk away from the Green P at Dundas Square) it becomes a great option to end off a night downtown or for those in the area. However, its not that easy to find since its located on the 2nd floor up a set of stairs so keep your eyes peeled for the small entrance.Otherwise, their karaoke system is standard with a fairly good selection and seems newer than many of the uptown options (yet the song sorting order seemed quite strange). Beware their room rates are charged by the hour (which might be why they took their time with service at the end of the night) whereas many other karaoke places simply have a room minimum."
55,Jesse F.,"Toronto, Canada","Came here after a massiv jam session on a boat.I was expecting more communal karaoke, but this place is all private rooms - kinda like a high end strip club... I assume.Needless to say they had a whole heck of a lot of songs. I struggled a touch to figure out how to make the system work - but remember, I just had just come from another partay.That being said, we wailed. Hard. Drinks were cheap and we jammed 8-10 people in one room. At the end of the night our bill was only like 60 bones. And we were there a solid couple hours.All in all, great place, nice decor, approaching fancy even. Combine that with reasonable prices and high fives all around.Except you only get a 4. Because I'm more a fan of public karaoke as opposed to private room. But if private karaoke's your jam, this place is definitely your peanut butter."
56,Mel C.,"Scarborough, Canada","My boyfriend suggested singing Karaoke as a date. I was hesitant at first even though I love singing because I didn't think it'll be fun with two people (I usually go in a large group). However, I had a blast! We got a small room which was $25/hr which is alright (I would be happier if it's $20/hr like some of the karaoke place around Bathurst and Bloor). The room was clean and the song selection was incredible. I can't wait to come back for another round of karaoke AND to hear my boy hitting those high pitch notes!"
57,Jannies L.,"Mississauga, Canada","I came here with my twin sister 2 years ago for our 23rd birthday, and we had Korean Grill house across the street before coming over YUM.The rate was $50/hour for our room which was suppose to fit 10-20 people. We had about 12 all together. My sister didn't enjoy her birthday at all because she became ""literally"" dehydrated from the heat in that room. I asked the very nice people if they can do anything about it and they said because we had too many people in the room?!?!? We had only the minimum amount and none of my friends are big in size and takes up more air then one person should. So while trying to make my sister comfortable (she eventually left early because she was going to throw up :( and we had tried giving her water and it didn't work) We ended up paying almost $200 for 2 1/2 hours during which I sang 2 songs at most. Pictures from that night have all of us sweating :sShots were also pretty expensive for a non bar.The songs were more current then other places I've been which is definitely a big plus."
58,Lisa S.,"Vaughan, Canada",The staff is very prompt and friendly.  The music selection is pretty huge.  Decent prices on drinks and  can bring your own food :) I came here for the first time for my friends birthday... won't be my last.
59,Laura C T.,"Toronto, Canada","So lately I've been frequenting the happy hours in Chinatown with my karaoke buddies, but this time came here with my friends for a birthday. The place is great. Nicely decorated and sleek. There's a full bar, and not sketchy at all that they have a great wine selection. Their room rates are higher than happy hours at other places (like $8 for 4 hours) but still reasonable for a night out. 1-5 ppl $256-15 ppl $4016-25 ppl $50It's still about $5 a person, and I think $20 for the night (average) is not too shabby. I think the best deal was tonight, when we had a huge room with two tvs, and at least 25+ people. If everyone chips in that's just $2 a person. The song selection is amazing. You have all your recent asian hits and tons of Western / English songs (unlike other places where that is limited). So many classics and obscure (by typical asian standards)  that are usually missing like Queen, and Belinda Carlisle Heaven is a Place on Earth. Even had Gotye and Fun We are Youngs real video. They have a remote control system but the selection screen is so tiny I could barely see it. No one in the group was really using the remote, or knew how - but they also had books around so you can punch in the number. but the BEST WAY is to DOWNLOAD THEIR APP. This is ingenius. Available for free in iTunes, you can select all your songs (there, or before hand), by name or by artist (chinese input works too!) When you're in the room, ask for the room login code. Once connected, you press ""add to queue"" and YOUR SONG will automatically (and magically) end up at the bottom of the list. This is awesome. Now the challenge is to get my friends to come here instead of Echo and pay a few more dollars. When are we coming back!?"
60,David C.,"Toronto, Canada","I have had many a good time at this sleek karaoke lounge upstairs off Yonge. It is what I consider to be the high class way to let down your inhibitions and belt out that secret top40 hit you've been hiding your interest in for x amount of years (ie. privately tucked away in one of the ""soundproof?"" rooms this venue offers its lyric loving patrons). You arrive in the lounge area and are greeted by the staff at the bar where you may book a room for 1-10? people. I believe the rate is $40/h which is quite reasonable, but ensure you are keeping track of the time as they will not do this for you (and this goes for those who may have had a couple//several more specialty shots than they intended). On that note the alcohol is priced moderately mod-high, specialty shots are delicious but will set you back $6-7 a pop. The rooms themselves are nicely dimmed, have comfortable sleek seating and of course a nice screen to view all those lyrics (which of course you already know by heart). The microphone system sometimes can be annoying to adjust and the last time i went it sporadically did this awkward feedback thing. All in all there's not much more to be said here. It's a wonderful concept that is accessible and hits all the major qualifying points to be a successful night of shameless (yet still classy) fun. So the next time if your in the mood for drinks and a merry song, (and don't feel like entertaining a crowd of snarling bearded men) I'd suggest splitting a cheap pitcher at a local bar and then hitting this place up to save a couple valuable bucks."
61,Sarah P.,"Austin, TX","Oh mang. I hold Bar + solely responsible for one amazing, amazingly sloppy night on Family Day Eve. Got a coupon for this place because my friends were always talking about doing karaoke. The private room set-up is awesome. Allows for uninhibited belting of horrible ballads. The prices are decent. We had some pre-Karaoke drinks and then got a bottle ($100) and some beers, and for about eight people, that was more than enough to give us the liquid courage to sing some real doozies such as, ""Black Dog"", ""Love Hurts"", ""Bad Medicine"", ""Final Countdown"", ""If You're Lookin' at Me, You're Lookin' at Country"", and a group rendition of ""Bohemian Rhapsody"" (a karaoke must) that would have brought a tear to my eye if I was sober enough to know what was happening. In total, with our $50 off coupon, our tab for 2 hours of karaoke was around $30 (not including the bottle service, which was paid separately). Really not bad at all split amongst so many, and wouldn't be bad even at full price ($40/hr for our medium sized room).The room was well appointed with three large black leather couches, a huge coffee table and flat-screen TV/Karaoke machine. The staff checked in on us regularly (but not TOO often), but we did get booted after a couple hours (they'll ask you how long you plan to stay when you reserve. If you've never been, add an extra half hour at least because you will unexpectedly have a blast, unless you are the biggest stick in the mud ever).Complaints? The sound on the mic is loud but the backing music could be pretty low at times, which meant the voices were the focus. Maybe good if you're Adele. Not so much if you're me. A few songs didn't work, and not ALL had the cheesy Korean vids accompanying them, but I guess I can forgive that. Extremely fun, extremely memorable night for all in attendance. Unfortunately for the staff and other patrons, we'll for sure be back."
62,Angie L.,"North York, Canada","Modern, spacious, clean roomsFair pricesEXCELLENT SERVICE (been here a gazillion times)Quality sound systemsAnd hugely important... AMAZINGLY vast and up-to-date song selection!Did I mention you can search and queue songs from your phone? What more can you ask for!?You can download the app at bar-plus.com/mobile(Must get room code from your server... They also have wifi)"
63,Tara Z.,"Toronto, Canada","How awesome is it to have a karaoke place that takes reservations?  (This is a rhetorical question.  It is totally awesome.)  We showed up at midnight and didn't have to wait at all because my friend had had the bright idea to reserve a room.  Service was awesome, drinks came quickly, and though we didn't take advantage of the food menu, it was great to have the option.  The song selection is very thorough, though badly organized.  The bulk of the songs are listed in alpha order, either by title or artist, but all the newest songs were in a section at the back sorted by date added and there was a mysterious section at the front called ""Missing songs"" with another couple of hundred songs.  I think the smartphone app lets you search for the songs you want, though--if we weren't so drunk maybe we could have made that happen.  It probably would have been a good idea for entering the songs, too--I kept hitting ""restart"" accidentally when trying to put in new songs.  Oops.  I blame the mango soju (which, by the way, is also totally awesome)."
64,Diraj S.,"Toronto, Canada","Vegas Big rooms ...you'll have an amazing evening! You can take your best 10,000 friends and have a blast.  Talking about blasts, the sound system is awsome and you're inner ear will beg for vacation after this. There was a kick-butt selection of tunes which made for an interesting evening of classics and some new stuff too. Staff was responsive and timely when we had questions like , where's the mike?"
65,Lauren M.,"Toronto, Canada","This is the best karaoke place in Toronto and I have been to most of them!A ten person room will cost you $40 an hour. The rooms are larger than usual and there is ample ""stage"" space at the front. Our room had 3 x 3 seater couches plus a few extra cushioned chairs if you are squeezing people in. The sound system was awesome, very loud, my ears were still ringing the next day. Great song selection too with new hits added monthly and listed at the back. What I love the most about these Asian karaoke places is the ridiculous video footage that accompanies many of the songs. I love watching Asian girls riding horses or 80s couples making out in a swimming pool whilst I'm belting out all my favourite tracks. The front of house/bar staff were super attentive and were quick to bring rounds of shots into the room. The main reception area and bathrooms were both tastefully decorated. You can sometimes here the room next door singing songs through the wall, but this is good really because it gives you song ideas of your own. (We totally stole Bohemian Rhapsody after hearing the room next to us singing it!)"
66,V. S.,"Portland, OR","We've had some good times at Bar Plus.  Like the time we were asked to leave because we snuck in our own bottle of Grey Goose and got caught turning our doubles into triples.  Or the time Brian K. took the microphone from our private room, ran to the stairwell and started singing Wonderwall like it would cure world hunger.  On more than one occasion I have woken up with two thoughts 1) ouch, and 2) I think I forgot to close my tab at Karaoke last night.  Bar Plus has private rooms, rented hourly, in three different sizes for all of your Karaoke needs. The accommodations are swanky the staff is always on point. Even when they confiscated my vodka, they gave it back to me at the end of the night. How sweet.Obligatory Title Pun: This BAR is double-PLUS good!Menu Readability: They provide phone-book-thick song lists, sorted by artist and song title. In English and Korean.Need to mention: You often have to call Wednesday to secure a booking for Friday night. As Wayne C. said, book ahead.What this place teaches me about myself: That I cannot sing."
67,Grace T.,"Mississauga, Canada","I've been here numerous times, so it's not a bad place. Pricing is very cheap (especially if you don't buy any food), song selection is great (now that I've had other karaoke places to compare it to, the selection here is AMAZING). I don't know how to use the machine at all, but that's okay because I had an experienced friend who did all the controls for us. They also allowed us to bring in outside food like bubble tea.My biggest issue with the place was time. I called ahead the night before to book a room for 5pm on a Thursday, which is their opening time. We got there at 4:50, they weren't open. That's fine. We went to get bubble tea and came back at 5:05. They still weren't open. I tried calling them, nobody picked up. Finally the owner (?) comes at 5:15 and lets us in, and then tells us to wait even more while he goes to set the room up. This might be understandable if we were just walk-ins, but we had a reservation and making us wait so long is not acceptable.Another problem is that their website doesn't list Friday and Saturday evenings as 19+ only, which threw a huge wrench in our event planning.If you're only looking for karaoke and not food+drinks, this is the place to go. It charges by the hour, so you're not saddled with a $40 fee/person after the night."
68,WaYnE c.,"Vaughan, Canada","As a Suburban Yelper which frequent Karaokes up NORTH predominantly, this experience at Bar+ has really opened my eyes to what I have been missing out.  The entrance is this tiny doorway next to Swiss Chalet that leads you to the second floor where a nice lobby is present for your waiting pleasure for your friends.The staff here are pretty accomodating and friendly as our GROUP probably asked them for a bigger room more than 5+ times from each individual Yelper, and they still didn't get pissed off.  The space is pretty decent to look at.  They provide BOOKS here which I've noticed some places have gone-away from, however it was either Korean or English.  For other languages you'll have to select from the song system which is standard and pretty  user friendly.The one thing that surprised me MOST was that unlike the Karaokes up north where it's mostly Chinese customers, here the English Soundtracks actually have the right beats, timing and tones which makes singing more of a pleasure than an attempt to break glass.The pricing STRUCTURE is pretty good too as there is an option of just paying for Room Rental so you can purchase drinks/snacks as an aside rather than being included in the all night fee at other places.  I might be wrong, but if you're not a drink/snack consumer here you might have a lower bill in comparison.The songs here are AMAZINGLY up-to-date as I look through the book and notice there was a couple pages dated with JULY 2010.  I guess it's only surprising to me because I don't really do the Karaoke scene and secondly I do the Chinese songs up north mostly which only update Chinese songs and the songs aren't even that recent.When I left around 12:30am, a bunch of young ones where at the doorway probably waiting for the NEXT available room.  BOOK AHEAD!"
69,Jen C.,"Toronto, Canada","I think the walls need a little more sound-proofing between rooms, but other than that, this is an ideal karaoke box. Rooms are spacious, food is adequate, and the song list is expansive. Staff were helpful when making my reservation and prompt when we called for service.Solid. Gold!"
70,Avitania B.,"Seattle, WA","Bar Plus has everything I want in a karaoke joint: nice rooms, a HUGE song selection, easy to use song selection UI, friendly service, reasonable prices, decent bar, and sleek decor. Location is convenient, too. Don't forget to make reservations, though -- rooms fill up pretty quickly."
71,April B.,"Winnipeg, Canada","I love this place! After our graduation ceremony, a small group of us drunkenly walked into this place on a Monday night. The guys working were really friendly and the price split between the 6 of us was extremely reasonable for the 2-3 hours we spent there. Other then that, I agree with everything Jenny T. mentioned about this place. Vast music selection, excellent equipment and expensive drinks (it's a good thing most of us were already hammered going in)."
72,Ivan N.,"Toronto, Canada","The Story;At the start of last week, I called up bar+ to reserve a small room for Friday, only to be told that they didn't take reservations for the small rooms during the weekends. I was told that it was first come first serve for the small rooms, but that I should be good for the time I tried reserving for. They offered for me to call them up to see if there's space before heading on over. Overall, it was a helpful and informative phone call at 1:00 in the morning - kudos to whomever handles their phone line!Come Friday afternoon, I walk in with 5 other friends. It was relatively empty, even though many universities are in Reading Week  at this time. We asked to squeeze into a small room - which the sign either recommended or enforced 1-5 people. Either way, we were put into the room no problems.The room was clean. There was a small coffee table of sorts, two sofas with three cushions each, an LCD TV and some space in the front that gives ample room to walk in and out - even enough space for me to dance (or rather - flail my arms and legs wildly both on the ground and standing up)!  They gave us cute little covers for the microphones that made things seem super sanitary. Unfortunately nobody explained what exactly they were so we went without using them for about half our time there. The books themselves showed a bit of age, but wasn't particularly messy or stained.The sound quality in the room was sadly a bit poor. There were some really great singers in the small room next to us, but when a few of my companions were able to sing along to their selections, it might be a telling sign that the noise bleeds through the rooms. Though I understand why it would be hard and expensive to reduce the bleeding, it makes some people a bit more timid to take the mic. I may even have held back my throaty, deep death metal voice if the place was full!We were given two books - one sorted by artist/band name, the other by song name. Towards the back were new song additions from the past half year or so.  The staff member who brought us to the room gave us rudimentary commands of inputting a number to choose a song, but left us to fend for ourselves afterwards. Things got very chaotic when we were changing language settings with the remote and were completely at a loss as to why Japanese songs were playing instead of the ones we picked! This would probably have been a time where we'd have to track down someone working here and ask them to teach us more about how to work the remote, but fortunately: there's a Bar+ App!The Bar+ App really made things simple for us. You just search for the name of the song or artist (select the tab below) and choose from the list and hit ""queue up"". Great for when we didn't remember the full name of the song or how to spell the artist name. The only thing we used the remote for was to control the volume and to skip any songs we didn't want to sing about. Totally easy with the app, sounds somewhat tedious without it.One major detriment to this establishment would be that the songs are inconsistent. What I mean is that there are ""KTV"" songs, ""English"" songs and ""MTV"" songs. We weren't explained what any of these mean, but quickly found that some songs had the official music video and music, some of the songs had no music video at all - with just the lyrics, and some were instrumental/dance cover songs. Some songs had no lyrics at all while the video played, others had lyrics without the words being highlighted and others were 'normal' karaoke versions. All the songs we saw were censored, and there were no score at the end.We didn't order any food or drinks this time around, as we had just came from lunch. I don't remember seeing or being given a menu, but browsing online gives me vibes of standard, somewhat pricy karaoke food and drinks that are premade or prepacked. Hopefully I'm wrong for the next time I visit!After an hour and a half of absolute fun, a bit of chaos in good and bad ways and some great company, we left with a bill that totaled up to around $7.00 per person. I'd consider that a steal for the fun we all had.Review Rundown:+ Clean and spacious room, with clean walls, sofa and tables, as well as some disposable covers for the microphones! This alone puts it ahead of many other karaoke institutions in Toronto.+ VAST song choices.+ Friendly staff, great on the phone.~ ""organized"" books are somewhat haphazard with alphabetical ordering towards the front whilst ""new additions"" at the back. Getting the Bar+ smartphone app totally alleviates this issue and makes things much easier.~ Somewhat disorienting for first time karaoke patrons - the remote system wasn't explained very well.- The rooms bled noise relatively easily: could dissuade people from singing.- The menu seemed like generic frozen/premade bar/karaoke fare.The Rating:4/5 - if you have the bar+ app (it's free to download!)3.5/5 - if you're stuck with the remote and boo"
73,Graeham M.,"Toronto, Canada","Bar Plus is fantastic, if its karaoke in the grand ole tradition that karaoke is supposed to be enjoyed in than bar Plus is a must. With super friendly staff and unmatched cleanliness, not to mention a surprisingly thorough catalogues which can be searched by either artist or title, you will never run out of viable selections to belt out. Whether its ""Africa,"" by Toto, not the sub par remix by Karl Wolf Def Leppard ballad Bar Plus has you covered. They also offer rooms varying in size from 4-30, so whether its an intimate setting you seek to torture your vocal chords or a larger setting more suited to intoxicated grand standing its Bar Plus!"
74,Tamar F.,"Los Angeles, CA","I can't sing to save my life.  Actually, I put people's lives in danger when I sing.  But that's why private karaoke rooms are fabulous.  Because when I sing only in front of friends at least they'll love me despite my inability to carry a tune.The rooms here are a tad pricy but are well furnished and quite large.  We had the medium room which was $40/hour.  Drinks were okay priced and you can bring any food you'd like in with you (and there's a Swiss Chalet downstairs if you sing better while eating rotisserie chicken).The song catalog was tremendous.  Not only did they have the karaoke standards, but they also had lots of really new songs.  Want some Mylie Cyrus?  Some Taylor Swift?  Want to belt out Ke$ha?  You can at Bar Plus!  Ironically, of course.  They also had some semi-awkward show tunes, songs made recently popular thanks to Glee, and random Disney ones.  And I know this because my group's karaoke repertoire was quite random.  The music videos ranged from poorly copied original videos (we got to watch the real ""Spice Up Your Life"") to some really awkward low-cost shots (Rent's ""Seasons of Love"" featured 5 minutes of a hobo walking around a city looking sad).  One thing I noticed was that they don't keep track of time for you, so if you really want to have a certain number of hours, then make sure to time yourself.  Another group was having trouble because they overstayed their hour or two that they planned to be there for.Overall, great place.  Nice upgrade from XO karaoke and the song list is phenomenal (and gets updated monthly!)"
75,Sapna G.,"Calgary, Canada","The gang went out karaokeing Saturday night and we came across Bar + Karaoke on Yonge street, right above the Swiss Chalet.This place has a bar when you first walk in and a lounging area, and then there are a dozen or so rooms that people can book and have a karaokeing party. There were 7 of us so we booked a medium room.The rooms are VERY nice. I haven't seen a lot of super clean karaoke joints - a lot of them have been seriously shady, but this one was pristine! Their equipment was excellent, and they even had an electric fireplace in the room! They also had a 'service button' that you could push at anytime in case you needed anything.You can order food and drinks and they'll bring them right to your room.The prices for small and medium rooms are as follow:Small room (up to 5 ppl) - $25/hourMedium room (6-10 ppl) - $40/hourIt was a super fun night and it didn't cost us too too much.A super cool place to spend the weekend singing your heart out :)"
76,Amy K.,"Calgary, Canada","This place is a lot of fun for karaoke. Go with a Korean friend though, as it makes communication with the staff easier, plus you get to belt out kpop songs. Food is okay here, nothing special, just cheap snacks like instant noodles. I'll be back because it's well priced and clean. Also there's some good rap/hip hop songs. :-)"
77,Thomas M.,"Toronto, Canada","Went here again and I hate the fact that the rooms aren't really sound isolated to the point where you could easily hear from the outside. Its great to get drunk and sing but its bad enough to hear others sing and complain about it. Also the karaoke machine in the room that we've been using has a mediocre sound quality to it as some songs increase the volume and sound terrible, prompting the idiotic manager/bartender to allegedly claim that we ""touched"" his precious setup. For the song selection, its huge but there are songs that I really wanted to sing that isn't in their ""catalogue"" and half of the song selections are pretty terrible. For a karaoke bar, they should really invest in better room with sound isolation and more staff.."
78,Karen L.,"Toronto, Canada","Pros: Good song lists, great rooms (when you can get them), at a reasonable price in a central location.Cons: Impossible to get reservations (Call or e-mail AT LEAST three-four weeks in advance for a medium or large room!) and watered down drinks.I've been to Bar+ a couple of times when someone else has made a reservation. Great fun, ok liquor prices, helpful staff. Best of all is the location since it's so central.The song lists are pretty good for English songs. The karaoke system is fairly easy to operate. Alcohol prices and hourly rates are fair. However, my friends suspect that the drinks are watered down.The rooms are clean, even though the couches are showing their age (it hurt more to sit on the couch as opposed to the arm of the couch!)I would give Bar+ five stars except the whole reservation system is a bit inefficient and the watered down drinks."
79,Corey D.,"Madison, WI","Take an enormous... enormous group and put them in an enormous... enormous room, add two microphones, some alcohol, classic tunes and you're bound to have an amazing evening! On day two of my T.O. vacation I wound up at this little downtown gem of a karaoke bar with my hosts and about 5000 of their friends. Ok, maybe not 5000, but 15 for sure. It was a blast! The room was off in the corner of the place so it felt like we almost had the entire place to ourselves. There was a kick-butt selection of tunes which made for an interesting evening of classics and some new stuff too. Employees were responsive and timely when we had questions and all in all it was a swell night. The place as a whole is in need of a little TLC, just small updates here and there, nothing major. But you're not there for the atmosphere, right? Once the lights dim and the music starts, it's all about the tunes."
80,Jacky I.,"Toronto, Canada",Conveniently located downtown. Typical karaoke place but the coolest part is they have an iPhone app that you can queue songs from. Just ask them for the key to punch into the app.
81,A H.,"Toronto, Canada","Best karaoke downtown! They added all the suggestions that I emailed to them. Clean rooms, decent prices, and great location."
82,Onyee L.,"Toronto, Canada","I came here with a small group of friends. The atmosphere of the place is great, definitely one of the nicest karaoke places I've gone to. However, they didn't have that many song choices as other places and many of the songs weren't actual MTV videos. But the price was very reasonable for a Friday night."
